title,rating,username,description,date,image_urls,asin_number
Four Stars,4.0 out of 5 stars,Constantine Galanakis,First time user so far so good engine does sound less noisy,"Reviewed in the United States on March 28, 2016",,
Nice but costly,4.0 out of 5 stars,Jableek,Love this oil. But the price needs to be lowered,"Reviewed in the United States on May 12, 2016",,
Four Stars,4.0 out of 5 stars,roger,ordered the wrong oil but will keep it for future use,"Reviewed in the United States on August 17, 2015",,
Project farmhouse approved,5.0 out of 5 stars,Daniel Shade,Bought this oil for me and my wife’s SUV after seeing Project Farmhouse’s test on a number of popular motor oils. This was second to AMSOIL. Great value for the money. Will use again,"Reviewed in the United States on January 7, 2023",,
Good stuff.. too bad it was shipped so late,5.0 out of 5 stars,Heidi,"This is exactly the stuff I was looking for. I needed it for my 2017 Acura RDX higher mileage suv for not being super old. It’s around 56000 miles but I was about to go on a road trip and needed this oil. Unfortunately I just had to go get some and get my oil changed instead because the seller said it would arrive by a certain time. It took a lot longer than said. It would have been nice to know how long the time really would be. Other than that, I have extra now and I have it on hand. Full synthetic and what my car needs.","Reviewed in the United States on July 17, 2022",,
A Real Fine Oil - From an Industrial Tribologists POV,5.0 out of 5 stars,Robert,"Let me start by stating that I work as an industrial gas turbine operator & controls tech and I'm a jack of all trades in that role e.g. I've been there and done that so to speak. Now, what that means is I have been trained in tribology (amongst loads of other titles), no not the study of those pesky Tribbles from Star Trek =)
Tribology is study of friction between two bodies in motion (friction) and lubrication etc... So I can tell a junk oil from a good oil pretty well. I run custom oil analysis when needed but not often. I ran this oil and performed some tests and it came out much better than most. Note: Most oils in the 21st century are real good. We're talking about marginal improvements here. But over the life of an engine it can and will matter to some of us. I prefer to keep a vehicle once it's paid off. Instead of going back in debt immediately... crazy I know! In those cases you want the best margin of increase over mean average you can get, even if only by a factor or .5
This oil is right up there with Amsoil and Redline. Though cheaper and less rare, though it is easier to buy through Amazon in my case.
Will this add 100,000 miles to your already old car or truck? Probably not. But for new car owners it may be worth swapping to after a good break-in with normal oils.
I've heard this oil has been ceased production (rumor?), not sure where I read that but I hope it's not the case. If so I may swap back to Mobile 1.","Reviewed in the United States on April 3, 2015",,
Outstanding performance for the price!,5.0 out of 5 stars,Rob H.,"Been using synthetic oil continuously for every oil change for well over 15 years now in any vehicle I've owned and this stuff is magic for the price I paid a few months ago.
Over the years I've used various other synthetics ranging from brands such as Mobil1, Lucas, Castrol Edge, Royal Purple, Amsoil and this stuff when it was marketed as Pennzoil Ultra before it was formulated from natural gas.
Now I can't give an honest assessment on how it performs and its cleaning/lubricating properties whether through heavy towing, racing, ultra high & low temperature performance, fuel economy,, etc but my late model Kia Sorento AWD V6 drives very smooth with Ultra Platinum which I've used the last 3 oil changes.
I'm aware there's a few YouTube vids on synthetic oil comparisons for those conscientious about the life of their vehicle/engine. Synthetic oil is always the best option for the life of your engine and Pennzoil Ultra Platinum is a real treat for it at an affordable price.
Go for it, you won't be disappointed!","Reviewed in the United States on February 24, 2021",,
Great,5.0 out of 5 stars,Patrick h.,As expected.,"Reviewed in the United States on March 8, 2023",,
Great Motor Oil,5.0 out of 5 stars,Jeffrey A. Sanquenetti,A little pricey but a Very good oil. Use in both my turbocharged cars. Works very well.,"Reviewed in the United States on January 28, 2023",,
Plz make sure it’s sealed good not leaking and or keep in a box upwards,5.0 out of 5 stars,jay figueroa,"The only thing I dislike is it leaked in package I just picked it up, but good thing not alot but did lose a bit . Plz make sure that it’s not leaked and sealed thank you","Reviewed in the United States on December 13, 2022","https://m.media-amazon.com/images/I/619ff6T-1mL._SY88.jpg
https://m.media-amazon.com/images/I/61QVtNFTqDL._SY88.jpg
https://m.media-amazon.com/images/I/61pH+bsz9SL._SY88.jpg",
Always,5.0 out of 5 stars,melissa,Always the best,"Reviewed in the United States on March 2, 2023",,
Great Oil,5.0 out of 5 stars,Joshua Macias,Great oil for my dads car!,"Reviewed in the United States on February 13, 2023",,
"Daily flogging on 3.5 Ecoboost, great snailfood",5.0 out of 5 stars,Tom andersen,"I got to say this is great oil, consumption is down, engine runs smooth and quiet. Well quiet engine loud turbo whistle sounds, which the singing of the snails when they are happy and boost is snappy. I have to assume no coking going on with this good stuff, so keeping the good times rolling
Second oil change with this stuff and must say I like it more than the Loyal Urple oil I came from. I check my levels daily (just before)during warmup and have never noticed any drops. I'm sure with the boost plus the lightweight 30 oil i'm always bound to get some blowby. Maybe I try 40 someday","Reviewed in the United States on May 25, 2022",,
Great,4.0 out of 5 stars,ITC,Great,"Reviewed in the United States on July 8, 2018",,
Four Stars,4.0 out of 5 stars,ES,this is the recommended oil for my 2015 Hemi scat pack shaker 6.4l.  Too expensive.,"Reviewed in the United States on November 17, 2015",,
Four Stars,4.0 out of 5 stars,Gilbert Silvas,Used it once and I can tell my engine funs just a little smoother then before.,"Reviewed in the United States on August 23, 2015",,
Four Stars,4.0 out of 5 stars,Gary,This is the best price I could find for this oil,"Reviewed in the United States on February 11, 2016",,
Four Stars,4.0 out of 5 stars,Richard F Lovec,"It's what my Dodge Ram recommends, it does the job","Reviewed in the United States on August 12, 2015",,
Four Stars,4.0 out of 5 stars,Boof,I really like this oil. Wish it was a bit cheaper,"Reviewed in the United States on May 17, 2015",,
Four Stars,4.0 out of 5 stars,LDHemi,great oil,"Reviewed in the United States on June 5, 2016",,
Four Stars,4.0 out of 5 stars,D.O.G.,GOOD OIL,"Reviewed in the United States on June 5, 2015",,
Four Stars,4.0 out of 5 stars,KY. K,Good,"Reviewed in the United States on August 27, 2015",,
Great Performance oil at a reasonable price point.,4.0 out of 5 stars,Kp0906sjsjsj,"I running this oil for the past 2 1/2 years on my high mileage 370z. I was considering other high performance oil for VQ that is known to run hot, there a noticeable difference for the maximum oil temp after pushing the engine with WOT. Before with Nissan OEM Ester oil, my car would consistently operating at 240F, which is within range per mfg manual. However, after a few runs, the car was approach 265 which was a bit much for my comfort level. Now, it is consistently at 200 with normal driving and I rarely see 240 even after a few hard runs. It also seemed to cool down quicker when pushed to the limits, which seems to me that the oil is doing a its job at not only keeping the oil temp in check but also does a great job at dissipating heats  as well.
As a trade off for more efficient thermal cooling, it does take a few minutes longer for the oil to get the engine to good operating temperature on a cold start but it's something I'm willing to live with as I don't drive it in cold weather as often. With all things considered, this is a great oil for my needs that does not break my wallet for every 3000 miles oil changes and no doubt would be beneficial even if you don't have an oil cooler.","Reviewed in the United States on October 23, 2021",,
One Star,1.0 out of 5 stars,José F Garcia,Wrong item. No dexos,"Reviewed in the United States on February 6, 2018",,
Warning - Danger!,1.0 out of 5 stars,Jimmy Z,"I used this in a vehicle that called for 0W-20.  It was on sale, and some folks told me that this was pretty good stuff.  Started it up and drove it about 35 miles.  Couldn't help but notice that it just wasn't as smooth as when I use a different high grade synthetic motor oil.  Being the guy I am, I drained the oil out and filled it with my usual Mobil 1 oil.  Started it up and went for a drive and all was back to being nice and quiet and smooth.
I don't think it hurt anything since it is now nice and smooth again with no funny noises.  I do know that I wouldn't have wanted to left the Pennzoil in it if the outside temperature was hot, or I was making a long drive with a load.
Because I was curious, I put a sample of the oil in a cleaned out empty peanut butter jar and let it sit.  After about a week, there were 3 distinct layers in the jar.  Some dark crud on the bottom, then a nice looking oil, and then on the top some other light colored thing on the very top.  Clearly it was not properly compounded or blended.  Look out for this stuff!","Reviewed in the United States on June 4, 2019",,
Deceptive advertising - does not last 15 years!,1.0 out of 5 stars,Pascal,"The terms of the guarantee state that your engine will last for at least 15 years, not this oil.  You still have to ""Change your vehicle's oil and oil filer at least as often as recommended by the vehicle manufacturer"".","Reviewed in the United States on January 16, 2023",,
Burns like crazy almost toasted my trucks engine,1.0 out of 5 stars,Sean,This oil burns off much faster than normal oil. If you really like the idea make sure you’re always watching that dipstick.. I almost wrecked my engine from lack of oil it burns so fast. I went right back to my Normal oil,"Reviewed in the United States on December 10, 2021",,
Unfair to the 50th State of the United States of America,1.0 out of 5 stars,Austyn Field,I dislike that amazon is unfair to the state of hawaii amazon customers becuase for whatever reason you people can't ship ANY ultra synthetic 0w-20 to hawaii but can ship ultra premium ultra synthetic 5w-30 to hawaii. what is up with that.,"Reviewed in the United States on November 13, 2020",,
Worst than conventional oil,1.0 out of 5 stars,Dennis,I used this oil in a magnum 4.7 engine that doesn't leak or use oil. Unfortunately when I changed my oil to pennzoil I started using oil and so after going through about 4 quarts in about 4K miles I decided it best to change it. I'm back to using Castrol again. It doesn't seem to be true synthetic and breaks down way too fast.,"Reviewed in the United States on August 20, 2017",,
BAD CUSTOMER SERVICE,1.0 out of 5 stars,Nasir,i had bad experience with Pennzoil  customer service  they do not rebate keep in mind as compare to Mobile one so this oil not cheap..,"Reviewed in the United States on May 20, 2019",,
"Says premium, but arrived like crap",1.0 out of 5 stars,John,Leaked out on arrival. What can I say. The most premium product shipped like a pile if crap. Please look at the damage. Picture speaks for itself.,"Reviewed in the United States on October 27, 2022","https://m.media-amazon.com/images/I/51LG5PjjWGL._SY88.jpg
https://m.media-amazon.com/images/I/610YT4NMGdL._SY88.jpg",
Scammed.,1.0 out of 5 stars,Great Dane,Completely a lie on product information. Not gf6 nor carbon neutral. Wasted my time.,"Reviewed in the United States on March 20, 2021","https://images-na.ssl-images-amazon.com/images/I/A1-JaU8B55L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/A1SkZkbalWL._SY88.jpg",
"Subscribed at the regular price, the next day the price went up by 50%",1.0 out of 5 stars,nick,"The oil is good, but the price varies a lot and is at least 50% higher than Msrp. I wouldn’t expect this from the official Pennzoil store.
If you subscribe and save at one price, beware that by the time this ships, even if it is the next day, the price could be more than 50% higher.","Reviewed in the United States on September 14, 2020",,
Best oil out there,5.0 out of 5 stars,angel m.,Using for years it's clean natural gas made comes out not too dirty,"Reviewed in the United States on March 21, 2023",,
Don’t forget about the warranty,5.0 out of 5 stars,Teddyballgame,"15 years 500,000 mile warranty included.  Check it out.  Best oil out there","Reviewed in the United States on March 5, 2023",,
This oil is unbeatable for the price if you can get the rebate to work.,5.0 out of 5 stars,Orlean,"I've used this oil in the past in my WRX STI with good results;  via a UOA the EJ257 sheared the oil down to a 5w-20 oil in 3,000 miles, although TBN had allot of life left, and wear numbers were great - the WRX STI EJ257 just destroys oil viscosity wise.
So, here I am again, I've decided to use it again on my new to me Lexus GS F - which has a 9.3qt sump; needed a full synthetic oil that isn't hard on the wallet  @ 5,000 mile oil change intervals.  Just put this in, which I will be doing a UOA on of course to see how it held up, although, I know the GS F is not hard on oil as the previous car was, so I suspect it will be good.
As far as the rebate success chance - I've submitted a handful, I've found out through personal experience that it's really hit or miss. The last rebate I sent via their website out of the 2 - 5 qt jugs, I only got a refund for one of the 5 qt jugs while the invoice clearly states quantity of 2 that I purchased. In addition one of the times on another purchase some 2 months later I got a letter in the mail stating my rebate was denied for no apparent reason. I recently submitted a rebate on some Pennzoil Platinum High Mileage that I am waiting on the rebate check for, so we will see if that one goes through.
That being said, if the rebate does go through, and depending on the current price on here at the time of purchase paying $3 a qt for a high quality Full Synthetic is really a amazing deal.","Reviewed in the United States on January 3, 2019",,
The price $28 is well worth it,5.0 out of 5 stars,J.O,"Run amsoil, this oil, and royal purple. Amsoils pricing of course have change and you now have to spend more for free shipping even as a member. My challenger needs 7qts my escalade needs 6qts, my chrysler 300 need 6qts, and my pontiac g6 gtp needs 5qts all for a little over $100 you can't beat it anywhere.","Reviewed in the United States on December 16, 2022",,
"Great oil, highly recommended",5.0 out of 5 stars,Igor V.,"I've been using Mobil1 for years, and I really trust them a lot. I watched a video from ""Project Farm"" on YouTube a while back on oil comparison. They were comparing this oil against Amazon Basics full synthetic oil. This oil did really well when compared to Amazon Basics, Mobil1, Redline, Royal Purple, and probably a few others. What can I say, that was enough evidence of performance for me to put it in my engine.
I also think it's important to point out that while not all oil is the same, one can't and in my humble opinion shouldn't ignore real world performance. In addition to this critical factor, to me price was a big factor. While I usually get 5qts of Mobil1 5w20 and a filter for around $45 to $50, I was able to get this oil with a filter for around $35. So far my engine has been running on this oil for a month, and guess what, NO DIFFERENCE so far between this and Mobil1. I recommend this oil.","Reviewed in the United States on August 9, 2021",,
Worked great in my 2018 Mustang GT!,5.0 out of 5 stars,Todd,Lubed ‘er up reaaallll good. Mhm.,"Reviewed in the United States on March 14, 2023",,
"Performs very good under hard conditions, giving it long life",5.0 out of 5 stars,CHRIS J BARTH,"Based on my research, this is the best oil for the price. Many Pennzoil lines are cheaper, but this performs much better. There are better oils, but they are not much better and cost a whole lot more. I've attached some graphs of how this oil performs: source Project Farm. I also like how this isn't made from crude oil, which means it is likely to have less impurities.","Reviewed in the United States on November 25, 2022","https://m.media-amazon.com/images/I/41ZRpqkSUWL._SY88.jpg
https://m.media-amazon.com/images/I/51BEib8jt5L._SY88.jpg
https://m.media-amazon.com/images/I/51JydyV0RcL._SY88.jpg
https://m.media-amazon.com/images/I/51S2PL3yzhL._SY88.jpg
https://m.media-amazon.com/images/I/51fEsTFVXfL._SY88.jpg
https://m.media-amazon.com/images/I/51pSg6qqKyL._SY88.jpg
https://m.media-amazon.com/images/I/51qUmeHcscL._SY88.jpg
https://m.media-amazon.com/images/I/51wmR5CNkWL._SY88.jpg",
Original and recommended by OEM,5.0 out of 5 stars,Erivan,Original and recommended by OEM,"Reviewed in the United States on March 20, 2023",,
Best oil on the market today,5.0 out of 5 stars,Bryan,"The Ultra Platinum Pennzoil is the best oil on the market today. I have ran this in my GT Mustang for 3 years now and everytime I do my own oil change at 10,000 miles it seems as if I could get more life if needed.","Reviewed in the United States on December 24, 2022",,
This is the only oil I run in my 6.4 hemi.,5.0 out of 5 stars,Kris Murphy,This is the recommended oil to run in my truck. My local parts stores do not carry it so I order it here.,"Reviewed in the United States on January 30, 2023",,
Four Stars,4.0 out of 5 stars,cowboy,"Good product, will use this instead of Castrol.......engine seems smoother with this product.","Reviewed in the United States on November 3, 2017",,
Just buy it,4.0 out of 5 stars,Jason,Affordable synthetic oil,"Reviewed in the United States on November 26, 2018",,
Sure is good product,4.0 out of 5 stars,gary winter,"Sure the product is good, only Pennzol making it difficult to give me my rebate.","Reviewed in the United States on August 26, 2017",,
Great value,4.0 out of 5 stars,Nina ,Great oil. Shipping took awhile though.,"Reviewed in the United States on May 15, 2018",,
N/A.,4.0 out of 5 stars,Leonel Bravo Rivera,Dirección no según pedido.,"Reviewed in the United States on August 4, 2018",,
Four Stars,4.0 out of 5 stars,Seongjin W.,I knew that the bottle's color is yellow changed. But it is black bottles.,"Reviewed in the United States on December 20, 2016","https://images-na.ssl-images-amazon.com/images/I/819g3E5tqtL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/819g3E5tqtL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81tJJS+yfwL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81tJJS+yfwL._SY88.jpg",
Four Stars,4.0 out of 5 stars,JR,Great for small power equipment,"Reviewed in the United States on May 12, 2018",,
Four Stars,4.0 out of 5 stars,Kyle Elliott,Helped with fuel economy. Worth it,"Reviewed in the United States on December 7, 2017",,
Four Stars,4.0 out of 5 stars,Ralph Hill,Good oil,"Reviewed in the United States on May 14, 2018",,
Four Stars,4.0 out of 5 stars,Luna,"Worked well so far, no problems yet.","Reviewed in the United States on November 1, 2017",,
was not ultra platinum. was conventional,1.0 out of 5 stars,Liam D.,was not ultra platinum. it was conventional,"Reviewed in the United States on August 23, 2019",,
Old Batch,1.0 out of 5 stars,Thedjwaver,Oil States November 2016 must be old batch,"Reviewed in the United States on May 18, 2019",,
Don’t count on the rebate!,1.0 out of 5 stars,Howard,It’s a great product but my mail in rebate was denied for no apparent reason.,"Reviewed in the United States on October 29, 2018",,
Unboxing,1.0 out of 5 stars,Dan,"Box came sealed yet dripping oil..
checked each quart & all were uneven in fluid levels...","Reviewed in the United States on July 11, 2018",https://images-na.ssl-images-amazon.com/images/I/71gP15XiPmL._SY88.jpg,
.,1.0 out of 5 stars,Veni Vidi Vici,Bottle leak,"Reviewed in the United States on February 27, 2020",,
False rebate marketing,1.0 out of 5 stars,Alby,Good engine oil but purchased during rebate period. Never receieved the rebate after 2 months.,"Reviewed in the United States on July 23, 2018",,
