title,rating,username,description,date,image_urls,asin_number,product_url
arrived in  box soaked leaking oil,1.0 out of 5 stars,Toxaway17,"container leaking oil.in plastic sack full of oil; in box wet with oil.
doubt can be returnen and not sure how to dispose of legally with out trip to landfill special disposal.
what do I do??","Reviewed in the United States on December 2, 2022",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Leaked everywhere,1.0 out of 5 stars,Amazon Customer,Nothing but a mess,"Reviewed in the United States on May 17, 2023","https://m.media-amazon.com/images/I/61GiY2FQgiL._SY88.jpg
https://m.media-amazon.com/images/I/61HD9p2bZXL._SY88.jpg",B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Producto mal empacado se votó el aceite,1.0 out of 5 stars,Endherzon Goncalves,"
                    The media could not be loaded.
                ","Reviewed in the United States on July 8, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Great oil but it never arrived,1.0 out of 5 stars,Chuck Johnson,I love this oil but this is the 2nd time it was lost in shipment. I have only ordered it 3 times and not sure why this happened again. Very disappointed again as I count on it getting to me on time. At least Amazon is great about refunds,"Reviewed in the United States on April 28, 2022",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Leaky replacement,1.0 out of 5 stars,ron eric,,"Reviewed in the United States on May 15, 2023",https://m.media-amazon.com/images/I/81EYYXMrvwL._SY88.jpg,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Oil container seal broken,1.0 out of 5 stars,Rrmcc1320,"Oil mostly leaked out. To his credit the delivery person pointed it out and there was nothing we could do but clean up the mess. The delivery person offered to help with return, which we appreciated, but we took care of returning the mostly empty container and oily box it came in to Kohl’s. A replacement for this is due in two days, so that speedy replacement was appreciated.","Reviewed in the United States on December 5, 2020","https://images-na.ssl-images-amazon.com/images/I/81afPtPR-GL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81y840OWrfL._SY88.jpg",B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Pay more attention to what you get. Probably got the wrong product.,1.0 out of 5 stars,RajK510,"I don't think I received the right product. When I purchased it mentioned it was DEXOS1 approved. Which my car requires. But the one I received did not have that on the container. Unfortunately I noticed this after I did the oil change. So returning it is probably not going to be possible. I hope this doesnt have an affect on my car. I will definitely pay more attention to the containers before I use it next time.
Amazon let me down for the first time.","Reviewed in the United States on July 22, 2018",https://images-na.ssl-images-amazon.com/images/I/51GWTv+jwjL._SY88.jpg,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Oil spill,1.0 out of 5 stars,ricardo,My package was leaking oil.,"Reviewed in the United States on March 30, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Product great,1.0 out of 5 stars,Amazon Customer,Product is great. Took over 3 months to recieve!!!,"Reviewed in the United States on February 12, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
"Shipper sucks, expect oil to leak everywhere, wrapped in a oil soaked bag down about a quart",1.0 out of 5 stars,Glowell11,"Oil came packaged very poorly about a quart of oil leaked all over the place, good oil I assume but I would like all of it without it leaking all over my floor","Reviewed in the United States on August 11, 2022",https://m.media-amazon.com/images/I/713uLU5DrhL._SY88.jpg,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_2%3FpageNumber%3D2%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Good product,5.0 out of 5 stars,Andrade Group Import & Export LLC,Good product,"Reviewed in the United States on March 26, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Good,5.0 out of 5 stars,Roberto Ramirez,Good,"Reviewed in the United States on March 25, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Oil,5.0 out of 5 stars,A. Carter,Serves it's purpose,"Reviewed in the United States on March 28, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Buy when price is right!,5.0 out of 5 stars,Bhatta's Reviews,"I am not an expert but I do try my best to maintain my own cars at home. When it comes to replacing engine oil requirements for my FORD vehicles, I used to always buy Genuine Motorcraft Ford Fluid SAE 5W-20 Premium Synthetic Blend Motor Oil, Amazon used to have great pricing on Motorcraft SAE 5W-20 Premium Synthetic Blend almost beating Walmart pricing but off lately that oil has become very expensive and mostly unavailable.
I took a chance and got this Valvoline SAE 5W-20 Synthetic Blend product and since all my FORD cars are old > 75,000 miles or more this High Mileage with MaxLife Technology blend fits the requirements perfectly. I am all for not going to local auto parts store whenever possible as you tend to pickup additional items that you do not need and sits in the garage for years without getting used. If you are a prime member you might find this less expensive at times, fast delivery thus saves time as the product gets delivered to your door. Overall nice product and works well on my FORD cars that requires SAE 5W-20
Rating the product with five stars for convenience purchase when price is right.","Reviewed in the United States on January 9, 2020",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Esto productos si llegaron a tiempo,5.0 out of 5 stars,Torres42,¹,"Reviewed in the United States on March 30, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Valvoline oil products,5.0 out of 5 stars,Ronald Revere,I have been using Valvoline oil for many years. This one works well in my vehicle.,"Reviewed in the United States on February 8, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Motor oil. Yup. It’s motor oil…,5.0 out of 5 stars,JAK,"Amazon wants me to rate this on how it tastes.  Can’t answer that, but no complaints on how my car runs.","Reviewed in the United States on January 21, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Great oil for old cars,5.0 out of 5 stars,Kevin,"I've recently been learning about cars and overall maintenance. For a vehicle at 230k miles I've started changing oil every 5k. The first time I used a different oil. The last two times I've used this oil. The first oil changed was horrible. Sludge no less. The second oil changebetter, but pretty much black. The last oil change, which was this oil, not as black and a slight burnt smell. My car was also burning some oil. I think in my case just a combo of an old engine,old coolant which I plan on flushing and old PVC valve which I just changed out with a new one. But honestly I think the burning helped get rid of some carbon. So at 240k and about 2-3 oil changes with this oil, my vehicle runs so much smoother. Truly appreciate this brand. I've heard good things about Mobil and Castrol, but Valvoline really has a good product here.","Reviewed in the United States on August 7, 2021",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Great,5.0 out of 5 stars,G. Rivas,Great oil for a high mileage car!,"Reviewed in the United States on March 2, 2023",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Worked wonders for my 09 Impala,5.0 out of 5 stars,Hvy ChvyG20,"My 09 Impala is pushing 200,000 miles.  For years I would just use regular oil.  As the mileage racked up so did the leaks.  I would have to add quart or more between oil changes.  I decided to start using this oil earlier this year and after several oil changes with the Valvoline 150K, the leaks don't seem quite as bad.  I'm adding less than a quart between oil changes.","Reviewed in the United States on September 15, 2022",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfive_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Good clulatie oil,4.0 out of 5 stars,Al,I like price very reasonable,"Reviewed in the United States on March 2, 2020",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
The best,4.0 out of 5 stars,graciela matias,Very good for my 2000 camry,"Reviewed in the United States on January 15, 2020",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Good oil for the money,4.0 out of 5 stars,Scowt,Seems to be good oil for the money,"Reviewed in the United States on September 18, 2019",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Good oil to use in your car,4.0 out of 5 stars,Larry L Grey,Used Valvoline oil for years,"Reviewed in the United States on December 24, 2019",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
good price,4.0 out of 5 stars,DnM,needed oil...best deal for the best product at a good price,"Reviewed in the United States on February 27, 2019",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Excelente,4.0 out of 5 stars,Mike nunez,Excelente precio,"Reviewed in the United States on January 2, 2020",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Yup it's oil alright!,4.0 out of 5 stars,Ben B.,It's oil. It works. Loses a star for not having an 'easy pour' spout that some other brands do.,"Reviewed in the United States on January 3, 2018",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Yep it's oil.  This particular weight and blend is a good match for my Motorbike.,4.0 out of 5 stars,Ray Rauch,"I use this for my motorcycle.  Good blend of synthetic and natural oil. Get's the job done, doesn't break down quickly and is a good price.","Reviewed in the United States on April 20, 2017",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Like this product a lot and have been using this ...,4.0 out of 5 stars,John Anderson,Like this product a lot and have been using this for years. Only give it 4 because I stopped using it when I found a similar yet better priced product.,"Reviewed in the United States on November 3, 2016",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Ok,4.0 out of 5 stars,Amazon Customer,Ok,"Reviewed in the United States on December 22, 2019",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Dfour_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Not dexos,1.0 out of 5 stars,Troopnine,The picture clearly shows dexos oil but was not the same product when delivered.,"Reviewed in the United States on August 24, 2018",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
One Star,1.0 out of 5 stars,Michelle,"Picture shows Dexos for GM warranty, but received non Dexos oil. Picture is wrong, Amazon needs to correct picture!","Reviewed in the United States on November 22, 2017",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Not good,1.0 out of 5 stars,meh kett,Not good,"Reviewed in the United States on November 20, 2019",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Not good,1.0 out of 5 stars,Gerald Proctor,Bad mistake,"Reviewed in the United States on July 26, 2019",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Deceptive and/or careless marketing,1.0 out of 5 stars,rj,The picture shows that this product is Dexos approved but what I received is not.,"Reviewed in the United States on January 21, 2018",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Careful of breaking oil,1.0 out of 5 stars,itscmr,I'm sure the oil and price is great. But one of the containers came broken and leaked everywhere. How to return it. Not sure since it has a hole.,"Reviewed in the United States on June 11, 2015",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
Oil was open,1.0 out of 5 stars,Leep624,I would not recommend. Oil was leaking out of the container when it arrived.,"Reviewed in the United States on January 16, 2018",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
damage crankshaft sensors,1.0 out of 5 stars,dhruv,after using this oil . this oil damaged my crantshaft sensors so dont use it,"Reviewed in the United States on October 23, 2017",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
... self by the time it got here what a waste of time will never buy,1.0 out of 5 stars,kristin porter,I could have refined the oil my self by the time it got here what a waste of time will never buy again,"Reviewed in the United States on February 15, 2016",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
dont drink.,1.0 out of 5 stars,Lyndizzle,Doesn't taste so good...,"Reviewed in the United States on September 29, 2014",,B00AM1Z67O,https://api.scraperapi.com/?url=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB00AM1Z67O%2Fref%3Dcm_cr_arp_d_paging_btm_next_10%3FpageNumber%3D10%26filterByStar%3Done_star&api_key=b90c4dcc61e317892bb64c328c931de7&scraper_sdk=python
